job_type,model,dataset_size,batch_size,epochs,worker_cpu,worker_gpu,worker_mem,runtime
feature_extraction,bert-base,16925,16,2,4,1,65536,87.18089706
preprocessing,gpt2-medium,23353,64,3,4,3,32768,13.69970738
evaluation,polynomial_regression,230497,32,2,8,1,32768,264.5665272
evaluation,resnet50,29172,16,2,4,1,65536,200.0899587
preprocessing,principal_component_analysis (pca),11817,32,3,16,1,65536,4.611159088
inference,efficientnet,46503,128,2,16,2,16384,2.841148214
feature_extraction,gru,40553,32,4,8,1,65536,40.43702333
training,support_vector_machine (svm),12214,16,5,8,1,65536,201.542653
preprocessing,linear_regression,16345,32,1,16,4,32768,3.549521085
feature_extraction,k-nearest_neighbors (k-nn),15637,128,5,4,1,32768,0.832179919
evaluation,random_forest,28263,128,3,16,1,65536,1.664187256
inference,gpt2,38526,16,1,8,1,16384,230.2660306
training,yolo,52709,64,2,16,4,32768,14.01574417
inference,linear_regression,21611,16,2,8,4,16384,44.51183354
training,vgg16,8082,32,5,8,2,65536,36.50589712
inference,gru,23054,16,1,32,1,16384,94.32281883
training,random_forest,32505,16,1,32,3,32768,60.01165064
training,lstm,19713,32,1,8,3,16384,18.79014617
preprocessing,efficientnet,58472,128,5,16,1,16384,44.74198402
preprocessing,lightgbm,46256,32,5,4,1,8192,42.87552626
training,random_forest,96438,128,1,8,2,65536,4.926439969
feature_extraction,resnet50,1896,16,1,16,1,65536,6.643784945
feature_extraction,k-nearest_neighbors (k-nn),8943,64,5,8,1,32768,1.45541857
evaluation,yolo,5604,32,3,8,2,32768,7.121369228
evaluation,random_forest,37627,64,3,16,2,32768,7.061745686
feature_extraction,logistic_regression,69537,128,3,16,1,32768,2.471461263
evaluation,resnet101,37242,16,2,8,1,32768,252.7518295
feature_extraction,vgg19,74024,64,1,16,4,16384,8.714717442
evaluation,lightgbm,19071,16,2,16,2,32768,64.23281746
preprocessing,bert-large,10379,64,2,16,1,16384,7.953820563
inference,gpt2-medium,117447,16,1,8,3,16384,428.4704268
inference,yolo,11787,32,3,8,2,16384,11.9412197
preprocessing,resnet50,16753,16,3,16,1,65536,9.711725218
preprocessing,k-nearest_neighbors (k-nn),130709,16,1,16,3,65536,37.32776159
preprocessing,yolo,28352,64,2,8,2,32768,17.20467378
training,catboost,11538,16,5,16,2,32768,149.4858916
preprocessing,xgboost,7468,64,3,16,2,16384,3.32937704
preprocessing,principal_component_analysis (pca),5349,32,2,4,1,16384,3.747570282
preprocessing,lstm,39950,16,5,16,4,8192,15.24895994
feature_extraction,vgg19,48897,16,5,16,2,65536,130.1351216
evaluation,bert-large,25468,32,5,32,3,32768,17.67253986
preprocessing,catboost,139661,64,1,32,2,16384,57.36865134
inference,naive_bayes,28737,16,1,8,1,65536,87.10424417
feature_extraction,gpt2,37414,32,2,32,2,65536,22.81101891
feature_extraction,naive_bayes,93112,128,1,32,2,32768,2.084326396
feature_extraction,bert-large,37493,64,5,8,3,32768,7.12818017
training,yolo,44194,32,3,16,2,65536,103.9426355
training,k-nearest_neighbors (k-nn),162437,16,2,4,2,16384,1179.569251
evaluation,bert-base,4539,64,3,16,3,32768,1.003682436
evaluation,vgg19,58109,16,1,8,1,32768,338.5177915
feature_extraction,xgboost,45286,64,1,16,2,16384,6.425066361
preprocessing,yolo,52554,32,2,8,3,16384,34.1082853
inference,mobilenet,85445,32,5,8,3,16384,66.9815606
evaluation,gru,73494,16,1,8,4,65536,253.5037693
training,mobilenet,43149,16,1,16,3,16384,99.6523241
evaluation,bert-large,4521,64,1,16,1,16384,1.562236539
inference,lstm,90715,128,2,32,2,32768,3.642950067
evaluation,linear_regression,35301,16,1,16,2,16384,99.97449105
inference,logistic_regression,4770,32,5,16,2,65536,2.449762821
training,bert-base,11186,64,1,8,1,16384,3.568067197
evaluation,random_forest,25572,16,4,16,2,32768,82.80376603
evaluation,vgg19,29432,128,2,16,3,32768,1.404750634
preprocessing,random_forest,17071,64,2,8,2,16384,9.84372768
training,xgboost,57687,32,4,32,1,32768,173.579262
preprocessing,polynomial_regression,26174,32,1,16,3,8192,8.44948546
feature_extraction,linear_regression,86454,128,3,16,2,16384,2.450013482
preprocessing,efficientnet,57426,16,4,16,2,16384,36.21673166
preprocessing,naive_bayes,26014,128,2,8,3,32768,9.81772158
inference,yolo,8300,32,1,8,1,16384,12.60696097
inference,k-nearest_neighbors (k-nn),56964,32,5,4,2,32768,46.11744562
preprocessing,k-nearest_neighbors (k-nn),37781,16,1,8,3,32768,12.92308957
feature_extraction,k-means,348279,64,2,8,1,16384,74.2627037
training,linear_regression,17753,16,4,16,4,32768,110.7551397
evaluation,bert-base,37835,16,5,8,3,16384,178.7647983
evaluation,vgg16,25158,64,5,8,1,32768,9.898916835
training,gpt2,7739,64,3,4,2,8192,7.761412912
evaluation,vit-base,3712,32,2,32,4,16384,2.655355639
training,xgboost,43985,64,4,32,1,65536,30.30609456
evaluation,principal_component_analysis (pca),79709,16,3,16,4,65536,137.0177175
inference,bert-base,34428,128,5,16,2,65536,1.586533415
inference,bert-base,17795,16,3,8,3,8192,76.28606598
inference,k-nearest_neighbors (k-nn),93355,64,2,16,1,32768,15.52307646
preprocessing,resnet101,3279,16,5,16,4,32768,1.23273467
evaluation,bert-base,295878,16,2,8,4,32768,1044.977029
training,vgg16,11494,32,1,16,1,32768,11.11925299
feature_extraction,mobilenet,8489,128,4,16,3,65536,0.242815596
evaluation,yolo,16728,128,4,8,4,65536,0.788238484
evaluation,yolo,14532,128,5,16,1,16384,1.281891088
preprocessing,principal_component_analysis (pca),19849,32,1,8,2,65536,8.742110744
evaluation,vit-base,87402,16,5,8,1,16384,586.6399621
feature_extraction,gpt2,43633,16,5,8,4,65536,97.08191435
inference,naive_bayes,17405,32,5,16,3,65536,6.748422327
feature_extraction,linear_regression,24394,64,2,16,1,16384,4.100196871
evaluation,lightgbm,55993,64,4,16,1,32768,14.50944935
preprocessing,bert-base,33579,64,5,16,2,8192,22.63707041
feature_extraction,bert-base,31846,64,2,8,4,32768,4.909327173
training,bert-large,14863,16,3,16,2,16384,168.9004607
inference,gpt2,20024,32,5,32,3,32768,10.80446487
evaluation,catboost,29115,64,4,4,2,8192,11.5707898
feature_extraction,gru,12595,64,1,8,4,32768,1.866959478
inference,k-nearest_neighbors (k-nn),32119,32,1,8,1,32768,25.27722003
feature_extraction,lstm,67633,16,5,8,3,65536,176.7659562
evaluation,polynomial_regression,81678,16,1,8,1,65536,307.8592945
feature_extraction,vgg16,23723,16,5,32,2,16384,66.86391989
feature_extraction,bert-large,17511,64,5,16,1,16384,3.720424965
preprocessing,principal_component_analysis (pca),76818,32,1,16,3,32768,20.79849073
training,support_vector_machine (svm),36004,32,1,8,1,32768,27.41114012
inference,random_forest,261000,16,3,16,1,8192,1029.530552
training,catboost,13415,16,3,8,4,16384,93.61340965
inference,resnet50,9169,16,1,8,4,16384,27.87856922
inference,random_forest,22871,64,1,32,1,16384,4.859543486
training,vit-base,96360,16,5,16,1,32768,1995.099577
evaluation,polynomial_regression,101081,32,3,8,1,8192,121.5435714
evaluation,random_forest,7851,64,3,16,2,32768,1.503485476
training,vgg16,12973,16,2,8,3,16384,103.9225336
training,logistic_regression,55987,32,2,32,2,8192,69.41180224
training,vgg19,52741,16,2,16,1,32768,440.446163
evaluation,linear_regression,9061,16,2,8,1,32768,37.50216939
inference,gru,5636,16,2,4,2,32768,25.1854037
feature_extraction,xgboost,102976,32,1,8,1,16384,103.4519986
feature_extraction,resnet50,133852,64,1,8,1,16384,35.86943476
inference,gpt2-medium,9072,32,3,8,1,16384,12.44968344
evaluation,efficientnet,33662,16,2,16,1,32768,182.827373
preprocessing,polynomial_regression,20504,32,5,8,4,32768,6.417571586
feature_extraction,resnet50,21221,32,1,32,3,65536,8.887750335
inference,k-means,55068,32,2,16,2,16384,29.93479028
feature_extraction,polynomial_regression,31147,64,1,32,1,8192,4.845917945
feature_extraction,xgboost,38071,64,5,8,1,32768,8.623107351
training,gru,8802,16,4,16,1,65536,143.4737177
feature_extraction,gpt2,29811,128,1,8,1,65536,1.9607258
feature_extraction,gpt2,10360,16,3,32,1,32768,33.05034243
feature_extraction,gpt2,48528,16,1,8,1,32768,209.2246182
feature_extraction,linear_regression,14891,16,2,8,3,16384,28.37477521
evaluation,bert-large,65490,32,2,16,1,32768,75.02227566
inference,k-means,102127,16,2,16,2,32768,232.2806686
inference,gru,47048,16,5,32,4,16384,90.9248118
feature_extraction,vgg19,29178,16,1,16,2,32768,75.80754146
preprocessing,random_forest,30218,64,2,16,3,32768,9.784543803
training,gpt2-medium,20611,16,5,4,2,65536,461.0558981
feature_extraction,gpt2-medium,28211,32,4,8,1,16384,35.74349858
training,principal_component_analysis (pca),209076,16,2,16,1,32768,1198.902912
evaluation,vgg19,17243,16,1,8,1,32768,102.0985304
feature_extraction,xgboost,7133,16,1,8,1,32768,21.94793331
training,resnet101,42915,32,2,16,2,8192,82.27112985
evaluation,vgg19,4677,64,3,4,3,8192,1.951276907
evaluation,gpt2,7326,16,1,4,2,65536,39.79435298
feature_extraction,bert-large,10815,64,3,8,2,16384,2.620687567
preprocessing,resnet101,3130,32,1,16,1,32768,1.894570035
inference,k-means,11743,64,1,32,2,32768,1.354551332
preprocessing,linear_regression,23694,64,2,4,1,32768,14.21051601
preprocessing,vit-base,48053,16,1,8,3,16384,28.14508145
inference,k-means,3511,16,2,16,1,65536,8.947612782
preprocessing,efficientnet,36606,16,2,16,2,32768,19.63808739
inference,mobilenet,38888,16,1,8,2,32768,122.1189218
preprocessing,random_forest,40118,32,5,16,3,65536,13.06063162
feature_extraction,polynomial_regression,1762,16,2,4,4,16384,3.850403531
preprocessing,gru,23481,128,2,16,2,32768,11.2125371
feature_extraction,lstm,101798,16,1,8,1,8192,576.8466014
feature_extraction,naive_bayes,74515,16,2,4,3,32768,159.7917793
preprocessing,resnet50,25863,64,3,16,2,32768,13.20917358
feature_extraction,polynomial_regression,22093,32,3,16,2,32768,9.299382093
feature_extraction,support_vector_machine (svm),17454,64,3,8,1,32768,2.959782746
inference,random_forest,7735,32,1,4,4,16384,5.30839563
evaluation,logistic_regression,6680,16,4,8,2,16384,24.84682831
feature_extraction,gpt2-medium,21160,64,5,8,1,32768,5.509670736
feature_extraction,resnet50,20164,32,3,16,1,32768,15.53883273
feature_extraction,linear_regression,55345,16,5,4,2,8192,191.6318848
training,yolo,19476,16,2,8,2,65536,163.018939
evaluation,bert-base,24201,64,2,16,2,65536,5.286504733
inference,vit-base,22692,64,4,32,3,32768,3.022541905
preprocessing,vgg19,9433,64,3,4,2,65536,7.3414694
preprocessing,bert-large,21231,128,2,8,1,8192,19.38262864
inference,k-nearest_neighbors (k-nn),7980,16,2,8,2,16384,22.85691278
preprocessing,logistic_regression,21038,16,5,8,1,65536,10.21100421
inference,logistic_regression,169903,64,2,16,1,32768,29.56659856
evaluation,support_vector_machine (svm),9619,32,4,16,3,8192,7.228248911
evaluation,k-nearest_neighbors (k-nn),54684,64,4,16,2,32768,8.854283459
evaluation,k-nearest_neighbors (k-nn),46786,32,4,8,3,8192,38.16967642
feature_extraction,vgg16,32246,128,1,16,2,16384,1.528183774
evaluation,resnet101,72884,32,1,4,1,32768,130.1324205
inference,logistic_regression,11970,16,2,8,3,65536,27.96122686
preprocessing,xgboost,123867,64,3,8,2,32768,57.83271817
preprocessing,k-means,14770,16,2,16,1,32768,5.875468598
inference,k-nearest_neighbors (k-nn),17254,32,3,4,1,16384,19.94062718
evaluation,support_vector_machine (svm),24607,32,4,8,1,65536,24.61037629
feature_extraction,vgg19,31607,16,2,16,4,32768,59.55080239
feature_extraction,resnet50,12343,32,3,8,1,32768,13.90271757
evaluation,bert-base,145014,16,2,4,2,8192,1148.158512
feature_extraction,vit-base,103078,32,1,8,1,32768,116.8193578
feature_extraction,efficientnet,1459,128,4,4,1,65536,0.117922065
training,vgg19,9902,64,1,8,1,32768,3.231404505
preprocessing,logistic_regression,8296,16,5,8,3,32768,2.956539005
feature_extraction,vit-base,9023,16,2,4,4,65536,21.3485546
preprocessing,random_forest,3778,64,1,32,1,32768,1.863417401
inference,principal_component_analysis (pca),7890,32,1,32,1,16384,5.337469936
inference,efficientnet,5807,128,3,8,2,16384,0.38587381
inference,k-means,246419,64,3,8,2,65536,41.0231466
training,bert-base,32192,16,2,8,2,65536,263.506403
inference,gpt2-medium,134794,32,2,16,1,8192,167.2246823
preprocessing,gpt2-medium,2609,64,2,16,1,8192,1.911871545
preprocessing,mobilenet,21236,16,2,16,1,8192,12.28508389
evaluation,bert-large,10285,64,2,8,2,8192,3.930526397
evaluation,naive_bayes,4836,16,1,16,2,16384,13.96351215
training,xgboost,1394,32,1,8,1,65536,1.244728204
training,resnet50,63791,16,2,16,1,16384,608.4046142
evaluation,gpt2,22566,128,2,16,1,32768,1.665751366
inference,k-nearest_neighbors (k-nn),90419,16,3,4,4,65536,173.7472699
feature_extraction,vgg16,30899,64,2,8,1,32768,8.671285116
preprocessing,gpt2,16392,16,2,8,1,16384,15.37836009
inference,resnet50,12515,16,2,16,1,32768,49.18925269
feature_extraction,gru,14607,32,5,8,1,32768,14.86693709
preprocessing,xgboost,29239,16,5,16,3,32768,10.13057365
feature_extraction,vgg16,17002,64,2,32,1,16384,3.701100183
preprocessing,yolo,29208,64,1,8,3,16384,16.56700092
feature_extraction,bert-large,46469,16,2,8,1,8192,235.8412889
inference,vit-base,44777,16,5,16,1,8192,242.1621768
training,k-nearest_neighbors (k-nn),14250,32,3,8,2,16384,29.29448625
training,gpt2,21602,16,3,8,3,32768,198.9541876
preprocessing,bert-large,16265,64,2,32,2,32768,7.42401343
training,lightgbm,23935,128,5,4,2,65536,7.002277403
training,logistic_regression,13806,16,5,16,1,65536,178.5532672
feature_extraction,k-nearest_neighbors (k-nn),3604,32,4,16,1,32768,2.07066947
evaluation,vit-base,11070,32,4,16,3,16384,10.13841382
feature_extraction,vgg16,33665,32,4,16,2,8192,26.40933777
training,gru,25421,32,5,8,3,32768,106.665107
evaluation,bert-large,1776,32,3,16,2,8192,2.344312852
preprocessing,resnet50,5167,16,5,16,2,16384,3.233188393
training,naive_bayes,27260,16,2,16,2,32768,122.5269279
evaluation,lstm,10384,16,1,8,2,32768,56.85454056
feature_extraction,yolo,4531,64,5,4,1,32768,1.304934959
feature_extraction,xgboost,53908,16,3,8,1,16384,200.3855983
inference,efficientnet,17834,64,1,8,4,65536,2.938120346
training,gpt2-medium,8207,16,3,16,4,65536,51.35768192
preprocessing,vgg16,11938,128,1,8,2,8192,9.307464408
evaluation,lstm,31618,32,3,8,4,32768,25.84090103
training,vit-base,35276,32,3,8,3,32768,88.33550927
inference,vgg16,51307,32,3,4,1,65536,66.41531308
evaluation,k-means,20368,32,2,16,3,8192,14.73649624
preprocessing,linear_regression,15590,16,3,8,1,8192,10.10342711
training,catboost,57806,16,1,8,1,32768,217.2839619
feature_extraction,naive_bayes,110811,128,2,4,3,16384,4.69703358
evaluation,gpt2-medium,4414,16,2,16,3,16384,16.13803721
evaluation,k-nearest_neighbors (k-nn),8957,32,5,4,2,32768,8.437008704
training,yolo,21626,32,1,16,3,16384,17.27965509
feature_extraction,linear_regression,32769,16,2,8,1,65536,87.82303993
training,naive_bayes,13070,64,4,8,2,32768,8.754222533
feature_extraction,bert-large,38747,16,2,8,2,65536,133.6200879
evaluation,support_vector_machine (svm),65237,16,4,16,3,16384,175.3926291
preprocessing,vit-base,24293,16,2,8,1,65536,18.91394489
inference,vgg19,8904,64,2,8,2,32768,2.418614382
evaluation,random_forest,11455,32,3,16,2,32768,10.19921032
preprocessing,yolo,70672,64,1,8,1,32768,58.69366044
inference,support_vector_machine (svm),17953,32,4,8,1,16384,16.35534747
inference,gpt2,9006,128,1,16,1,65536,0.516140029
evaluation,resnet50,11114,16,3,4,4,65536,45.24813786
training,resnet50,31302,16,2,8,4,32768,154.3592594
evaluation,bert-large,64225,16,5,4,1,65536,462.6934899
inference,bert-large,19217,16,4,8,1,65536,90.06765546
evaluation,support_vector_machine (svm),4368,16,2,16,3,65536,9.474124583
feature_extraction,linear_regression,9370,64,2,16,2,32768,0.963844634
inference,mobilenet,30792,32,1,8,2,32768,23.04573349
evaluation,k-nearest_neighbors (k-nn),10987,16,5,16,1,16384,40.3973859
training,catboost,104516,32,1,16,3,8192,73.66211185
training,vit-base,50266,16,1,8,2,65536,185.090026
preprocessing,random_forest,9254,64,2,8,1,65536,5.198240516
inference,k-nearest_neighbors (k-nn),1922,32,4,8,4,32768,0.893681349
training,naive_bayes,19258,64,5,8,1,16384,23.84000718
preprocessing,efficientnet,19159,128,2,8,2,16384,13.43225674
preprocessing,gpt2,14042,16,4,16,2,65536,6.478957145
training,vit-base,62262,16,3,8,1,16384,1082.535957
inference,vgg16,20419,16,3,16,2,16384,79.2452161
preprocessing,lstm,12783,16,2,16,3,8192,6.586214894
inference,support_vector_machine (svm),18717,64,5,16,4,16384,2.023706704
preprocessing,naive_bayes,40824,16,2,8,1,16384,23.12176003
preprocessing,principal_component_analysis (pca),31805,64,3,8,4,16384,9.529773757
feature_extraction,k-means,24388,16,2,8,4,32768,40.05139623
evaluation,gpt2,103675,32,5,8,1,16384,169.5691699
evaluation,gpt2,25594,32,1,16,1,65536,28.99685399
preprocessing,random_forest,41594,32,3,8,1,32768,27.59835107
training,principal_component_analysis (pca),13899,16,5,32,2,16384,150.1080842
training,catboost,52299,128,2,16,1,8192,6.717936957
inference,catboost,21920,16,1,8,2,32768,68.95079601
inference,logistic_regression,47715,128,3,16,1,32768,1.884270036
evaluation,vit-base,5303,16,5,16,1,65536,24.04653639
training,lightgbm,16870,32,2,32,2,32768,18.05589089
feature_extraction,k-means,9677,32,2,32,1,16384,5.667025589
preprocessing,xgboost,82203,16,2,32,1,32768,39.93622132
preprocessing,gpt2,35011,16,3,4,1,65536,30.06955655
evaluation,support_vector_machine (svm),38044,32,1,16,2,16384,27.32825079
evaluation,resnet101,11506,16,4,32,1,32768,49.51153507
inference,yolo,82561,16,3,16,2,16384,278.8866757
feature_extraction,polynomial_regression,22343,16,1,8,4,65536,30.2755614
feature_extraction,vgg19,8485,32,2,16,2,32768,5.478229681
preprocessing,bert-base,18231,64,2,8,2,32768,11.07210948
evaluation,lightgbm,55362,64,1,4,4,65536,10.6026372
evaluation,xgboost,34089,16,3,16,1,16384,164.9326306
feature_extraction,naive_bayes,33001,16,5,16,2,32768,60.4761539
preprocessing,support_vector_machine (svm),86408,16,1,8,4,65536,21.39664373
preprocessing,gru,9468,16,3,16,1,32768,5.893449816
feature_extraction,k-means,9377,16,2,8,1,16384,30.84143875
feature_extraction,bert-large,8747,32,1,16,2,16384,6.928452845
training,catboost,42211,16,4,8,1,32768,685.0341047
preprocessing,catboost,4899,128,5,16,1,32768,2.75347664
inference,bert-base,14504,16,1,8,3,32768,45.59615575
training,catboost,56513,64,3,8,1,16384,44.46935707
preprocessing,random_forest,28454,32,5,16,4,32768,8.191384704
training,catboost,15942,32,2,8,2,16384,31.34428043
evaluation,linear_regression,8132,64,1,8,2,65536,1.676004264
feature_extraction,bert-large,16649,16,3,16,2,65536,38.31267803
preprocessing,resnet50,3728,16,2,8,1,32768,2.962020651
evaluation,resnet50,33145,16,2,8,1,8192,249.8916437
preprocessing,resnet50,88190,32,1,16,2,16384,48.54053794
inference,gpt2-medium,69329,128,1,32,2,16384,3.444897734
preprocessing,gpt2,53647,32,2,8,2,16384,38.49481881
inference,naive_bayes,62022,32,5,4,1,8192,83.68177232
evaluation,gpt2,26831,32,3,4,3,65536,30.47358645
inference,gpt2,9771,64,3,8,2,32768,2.654376097
training,linear_regression,17766,32,4,8,1,8192,74.50019307
training,gpt2,29050,32,5,16,2,16384,135.2339797
training,gpt2-medium,21513,16,4,8,1,16384,477.6921837
training,principal_component_analysis (pca),18502,128,1,16,2,32768,0.587478584
training,logistic_regression,31545,16,1,8,3,16384,71.962446
feature_extraction,random_forest,38868,64,3,4,1,65536,9.920926435
evaluation,vgg19,23764,16,3,16,1,32768,109.9219137
inference,catboost,46290,128,3,8,2,16384,2.809693918
training,random_forest,17485,32,1,8,1,32768,18.23226992
feature_extraction,xgboost,94208,16,5,8,3,8192,248.7633219
feature_extraction,lstm,48687,16,4,16,2,16384,136.1140199
feature_extraction,efficientnet,21665,64,5,16,1,65536,4.269634314
preprocessing,efficientnet,142859,16,4,16,4,65536,43.98120095
feature_extraction,vgg19,3024,32,2,8,3,16384,2.553181365
evaluation,yolo,5427,64,3,16,1,32768,1.696259977
training,xgboost,22344,32,1,8,1,16384,23.45425125
feature_extraction,resnet101,95010,16,2,8,2,32768,345.1354329
inference,gpt2-medium,25875,32,3,8,3,16384,22.64190777
evaluation,support_vector_machine (svm),61168,32,2,16,2,32768,38.57735335
inference,resnet101,177805,32,5,16,1,16384,204.2567876
feature_extraction,bert-base,33978,16,2,8,1,32768,141.0302918
training,catboost,9837,64,3,16,2,16384,5.540014032
training,support_vector_machine (svm),29162,64,5,8,1,16384,36.16697351
feature_extraction,linear_regression,127850,64,2,4,2,32768,22.21232408
inference,linear_regression,8981,16,2,16,3,65536,15.40689618
training,yolo,11236,32,2,8,1,65536,24.4050887
evaluation,linear_regression,25617,32,4,8,2,8192,25.6247144
evaluation,lstm,16592,64,5,16,2,8192,4.726274541
training,vgg19,34796,64,4,16,1,16384,40.48550897
preprocessing,bert-base,94449,32,2,8,2,16384,69.43694905
feature_extraction,principal_component_analysis (pca),26652,32,1,16,2,16384,12.53244784
evaluation,k-means,56461,16,1,32,2,32768,125.0635078
training,principal_component_analysis (pca),8886,64,3,8,1,32768,5.357827873
evaluation,resnet50,100637,32,5,8,2,32768,135.6162698
inference,bert-base,40701,32,5,16,1,32768,38.33009108
training,efficientnet,37361,16,1,8,1,32768,171.7005665
inference,lightgbm,43440,64,2,32,1,65536,7.770814917
evaluation,resnet50,16284,32,1,32,4,16384,11.21681227
feature_extraction,gpt2-medium,21738,32,2,32,2,65536,12.97253806
evaluation,lightgbm,18205,16,1,32,4,32768,33.09278256
evaluation,principal_component_analysis (pca),164764,64,3,32,2,32768,24.0476541
inference,lstm,61310,32,3,8,1,16384,88.26100143
evaluation,efficientnet,67403,64,3,8,4,32768,14.72264283
inference,naive_bayes,38151,128,1,16,2,32768,1.325873643
inference,support_vector_machine (svm),32994,32,1,8,1,32768,29.71705884
inference,polynomial_regression,7926,32,1,8,3,32768,4.623959532
evaluation,naive_bayes,71982,32,1,4,1,32768,94.79441322
feature_extraction,bert-large,29725,16,5,8,1,32768,127.8295417
feature_extraction,xgboost,7998,64,5,8,3,16384,1.297478502
training,bert-large,97930,128,4,8,3,32768,20.22728281
training,gpt2-medium,11313,16,1,8,2,16384,47.52299402
feature_extraction,polynomial_regression,18440,128,4,8,1,16384,0.954106705
feature_extraction,naive_bayes,15040,16,3,8,4,65536,19.80208329
inference,k-nearest_neighbors (k-nn),12330,64,3,8,3,32768,1.665806714
evaluation,gru,20020,16,2,16,2,8192,97.48581247
training,support_vector_machine (svm),3728,64,3,16,1,65536,1.716098476
feature_extraction,catboost,22394,32,3,16,2,32768,11.16648294
inference,lightgbm,15489,16,2,8,1,16384,75.99368601
feature_extraction,vit-base,147877,32,3,16,3,16384,95.41148367
preprocessing,logistic_regression,111966,16,1,16,3,16384,38.88981385
training,vit-base,74455,16,1,16,2,32768,225.5599181
training,gpt2,13184,16,2,16,2,32768,87.54211951
inference,random_forest,19009,16,1,8,2,16384,64.83401512
evaluation,yolo,12930,128,3,16,1,32768,0.921821248
preprocessing,k-means,52288,64,2,32,1,16384,22.87507106
inference,yolo,100597,32,4,16,4,16384,62.41077158
preprocessing,gpt2-medium,14286,32,1,32,1,65536,8.103053384
evaluation,resnet101,30165,16,2,16,2,65536,108.2076289
evaluation,gru,74700,16,4,16,3,16384,290.0634501
feature_extraction,bert-large,13532,128,2,4,4,65536,0.541832946
training,catboost,10908,16,5,32,1,16384,175.630912
evaluation,naive_bayes,6603,16,5,16,1,32768,21.29327951
evaluation,vgg19,59353,32,5,8,2,8192,90.76131213
training,gpt2-medium,62216,16,5,8,1,16384,1899.830695
preprocessing,gpt2,48903,16,2,32,2,16384,22.2071788
inference,gpt2,8209,64,4,32,2,65536,1.44434752
training,xgboost,66626,16,4,8,1,32768,1035.103829
training,support_vector_machine (svm),19652,16,1,8,2,65536,46.30295088
feature_extraction,resnet50,31203,128,1,16,1,32768,1.609309916
training,lstm,10588,16,4,32,1,65536,143.6350671
evaluation,bert-large,4209,16,5,8,1,32768,26.44320807
evaluation,yolo,8433,32,1,16,1,32768,10.92264471
evaluation,gru,3849,128,5,8,1,65536,0.354490824
inference,k-nearest_neighbors (k-nn),39428,16,1,8,2,65536,102.0381951
training,gpt2-medium,65035,64,2,8,2,65536,30.02631241
inference,yolo,13751,16,2,16,2,16384,48.32532792
feature_extraction,xgboost,14597,32,2,8,1,65536,12.05973071
training,resnet101,69835,16,2,8,2,32768,618.9660743
training,k-means,15637,32,1,32,1,32768,8.453907307
evaluation,polynomial_regression,26120,32,2,16,1,32768,21.48098426
evaluation,random_forest,16505,32,3,4,1,16384,26.07955657
evaluation,lightgbm,10059,64,1,8,2,65536,2.432163091
evaluation,gpt2,53854,16,2,8,2,16384,278.1718437
